URLIn,httpStatus,URLOut,Content-Disposition,Content-Type
https://dspace.library.uu.nl/bitstream/1874/86/26/c6.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/86/c6.pdf;jsessionid=1A74CA20E2CC078304682323D943BE7A?sequence=26,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/86/27/c4.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/86/c4.pdf;jsessionid=970B86AB4F2350DA053AFD2C61572B7E?sequence=27,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/86/28/c3.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/86/c3.pdf;jsessionid=14504A05FE5AC0E11E721FF7A4914BB1?sequence=28,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/86/29/c2.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/86/c2.pdf;jsessionid=2B454DC1F7C7AD68477DB9AFB822DBC4?sequence=29,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/86/30/c1.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/86/c1.pdf;jsessionid=62B2E87475B683D25938B71B117EB9B7?sequence=30,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/86/31/bibliography.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/86/bibliography.pdf;jsessionid=B5ECB84C0D3C7334F24C8FF0FB38D888?sequence=31,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/86/32/abstract.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/86/abstract.pdf;jsessionid=691B47609452637D903AD6E10E741D93?sequence=32,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/86/33/c5.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/86/c5.pdf;jsessionid=772F8C7430DC54BE509C67165A5E5DFA?sequence=33,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/86/34/full.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/86/full.pdf;jsessionid=E32C72CE0A3B0945C140DA4ACF6EC81B?sequence=34,n/a,image/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/1678/1/StabilityVR1996%20tex%20typeset.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/1678/StabilityVR1996%20tex%20typeset.pdf;jsessionid=0D10A139BFD55326E59E399AF2DDB145?sequence=1,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/1681/1/HowardExtension.doc.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/1681/HowardExtension.doc.pdf;jsessionid=B30C17649FC381539A05FB11DEBEA3BE?sequence=1,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/1682/1/ScanningEyeMovements.doc.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/1682/ScanningEyeMovements.doc.pdf;jsessionid=DF8ADA5B00E9CE670AEEEB6759ACC52E?sequence=1,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/1683/1/VisDirec.doc.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/1683/VisDirec.doc.pdf;jsessionid=78901E92374948ADABFA3AD885F13479?sequence=1,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/1/full.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/full.pdf;jsessionid=F5D8CA412F357C80687FF7B856A254EC?sequence=1,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/3/sam.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/sam.pdf;jsessionid=320C6E88A5F19C86F6BE7DECB5B76AAB?sequence=3,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/4/c1.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/c1.pdf;jsessionid=37F7B415283A1ACF8AE2E7CF0BE7208C?sequence=4,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/5/c2.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/c2.pdf;jsessionid=A616CCF0FD58ED91741F9162D32887EA?sequence=5,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/6/c3.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/c3.pdf;jsessionid=398401C6BA40815E633ADC57EFE8678B?sequence=6,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/7/c4.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/c4.pdf;jsessionid=7C4AAB3F6F4C636632A0967629FFDF8C?sequence=7,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/8/c5.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/c5.pdf;jsessionid=CE7095805264779D46DD564A48BF14DF?sequence=8,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/9/c6.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/c6.pdf;jsessionid=48658F5F11E6C2B2EA9CBF1EE4A313E8?sequence=9,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/10/c7.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/c7.pdf;jsessionid=4AB95D5716473549973A0B1EE3198FA7?sequence=10,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/11/c8.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/c8.pdf;jsessionid=8D9080CD44FC0D90CEA9A7DBB66B1930?sequence=11,n/a,application/pdf;charset=ISO-8859-1
https://dspace.library.uu.nl/bitstream/1874/87/12/titpag.pdf,200,https://dspace.library.uu.nl/bitstream/handle/1874/87/titpag.pdf;jsessionid=669A2A3BC07FD78EFBF4D0633812661A?sequence=12,n/a,application/pdf;charset=ISO-8859-1
