URLIn,URLout,Content-Disposition,Content-Type
http://library.wur.nl/WebQuery/wurpubs/510950,http://library.wur.nl/WebQuery/wurpubs/510950,,text/html; charset=utf-8
http://edepot.wur.nl/401646,http://edepot.wur.nl/401646,"inline; filename=""edepotlink_t58592b92_001.pdf""",application/pdf
http://library.wur.nl/WebQuery/wurpubs/510950,http://library.wur.nl/WebQuery/wurpubs/510950,,text/html; charset=utf-8
http://library.wur.nl/WebQuery/wurpubs/510950,http://library.wur.nl/WebQuery/wurpubs/510950,,text/html; charset=utf-8
http://edepot.wur.nl/401646,http://edepot.wur.nl/401646,"inline; filename=""edepotlink_t58592b92_001.pdf""",application/pdf
http://library.wur.nl/WebQuery/wurpubs/510950,http://library.wur.nl/WebQuery/wurpubs/510950,,text/html; charset=utf-8
